regime,F,k,jepa,persistence,floor,jepa_v,jepa@1,jepa@H,win_6:12,win_13:30
bubbles,0.098,0.057,1.687942270050435,0.21718905782626927,1.385084113726688,1.1874057427619777,1.550685369160001,1.6966728145019228,1.6908682129139334,1.6986738235433387
gliders,0.014,0.054,3.285867314342639,1.453803228910791,2.6802437738656537,2.951984533519287,2.776705732351844,3.22558966568252,3.350038579860467,3.2877103634104583
maze,0.029,0.057,1.317624617517914,0.4859165033626717,0.8772238045837606,1.1890088436236435,1.096341015228975,1.3362200434031415,1.3148098197527769,1.33912779146217
spirals,0.018,0.051,1.5212377590853203,1.388758710884752,1.2963234049900265,1.432859674296858,1.3817494030946698,1.510410431861505,1.5368552593443978,1.5251267241334447
spots,0.03,0.062,1.6519694387373491,0.6108985308171351,1.424339477769544,1.3185119787046797,1.6109927024365607,1.5878023765359357,1.6929591605751515,1.6178205427777304
worms,0.058,0.065,1.7247104923514305,0.25058037958649565,1.6008773816917035,1.2532383272537506,1.6343875171837354,1.6821470812662196,1.7493086085186107,1.7090474190648168
