regime,F,k,jepa,persistence,floor,jepa_v,jepa@1,jepa@H
bubbles,0.098,0.057,2.2279460325837137,0.08194576379610226,1.8119146145880223,1.4639773815870285,2.073558583855629,2.26315288990736
gliders,0.014,0.054,2756.2512996673586,1.982191284839064,1683.1088567733764,1950.1381217956543,2030.540958404541,2922.9740600585938
maze,0.029,0.057,1.2754003826528788,0.15867457053391262,0.8881643556058407,1.1459340818226338,1.0895465202629566,1.3208656013011932
spirals,0.018,0.051,358.9225389450788,1.3374735301360487,220.62483385801315,251.3788806259632,270.0612996518612,377.52079228311777
spots,0.03,0.062,1.6828024968504907,0.19223772252444177,1.3984837267547845,1.3559753879904748,1.5683030411601067,1.6521915197372437
worms,0.058,0.065,1.7822850421071053,0.10030616811709478,1.630146374180913,1.2956492066383363,1.6609543487429619,1.7685690075159073
